"Term ID","Term Name","Term Slug",Description,"Parent ID","Parent Name","Parent Slug",Count,product_count_product_cat,display_type,thumbnail_id,order,_astra_sites_imported_term,"Image URL","Images Filename","Images Path","Images ID","Images Title","Images Caption","Images Description","Images Alt Text"
321,T-shirt,uomo-abbigliamento-t-shirt,"<!-- slug:/uomo/abbigliamento/t-shirt/ -->",309,"Tutto l'abbigliamento",uomo-abbigliamento,,,,,,,,,,,,,,
322,"Tutte le borse",uomo-borse,"<!-- slug:/uomo/borse/ -->",96,Uomo,uomo,,179,,41691,,,https://grandeshop.it/wp-content/uploads/2023/11/251120231700921946.jpeg,251120231700921946.jpeg,/home/fwbibudd/public_html/wp-content/uploads/2023/11/251120231700921946.jpeg,41691,251120231700921946.jpeg,,,
323,"Borse a tracolla",uomo-borse-borse-a-tracolla,"<!-- slug:/uomo/borse/borse-a-tracolla/ -->",322,"Tutte le borse",uomo-borse,,,,,,,,,,,,,,
324,"Borse da lavoro",uomo-borse-portadocumenti,"<!-- slug:/uomo/borse/portadocumenti/ -->",322,"Tutte le borse",uomo-borse,,,,,,,,,,,,,,
325,Marsupi,uomo-borse-marsupio,"<!-- slug:/uomo/borse/marsupio/ -->",322,"Tutte le borse",uomo-borse,,,,,,,,,,,,,,
326,"Valigie e borsoni",uomo-borse-valigia,"<!-- slug:/uomo/borse/valigia/ -->",322,"Tutte le borse",uomo-borse,,,,,,,,,,,,,,
327,Zaini,uomo-borse-zaino,"<!-- slug:/uomo/borse/zaino/ -->",322,"Tutte le borse",uomo-borse,,,,,,,,,,,,,,
328,Borsa,uomo-borse-borsa,"<!-- slug:/uomo/borse/borsa/ -->",277,"Tutte le borse",donna-borse,158,158,,51764,,,https://grandeshop.it/wp-content/uploads/2023/11/251120231700930506.jpeg,251120231700930506.jpeg,/home/fwbibudd/public_html/wp-content/uploads/2023/11/251120231700930506.jpeg,51764,251120231700930506.jpeg,,,
329,"Tutte le scarpe",uomo-scarpe,"<!-- slug:/uomo/scarpe/ -->",96,Uomo,uomo,,166,,42417,,,https://grandeshop.it/wp-content/uploads/2023/11/251120231700922372.jpeg,251120231700922372.jpeg,/home/fwbibudd/public_html/wp-content/uploads/2023/11/251120231700922372.jpeg,42417,251120231700922372.jpeg,,,
330,Sneakers,uomo-scarpe-sneakers,"<!-- slug:/uomo/scarpe/sneakers/ -->",329,"Tutte le scarpe",uomo-scarpe,,,,,,,,,,,,,,
331,Mocassini,uomo-scarpe-mocassini,"<!-- slug:/uomo/scarpe/mocassini/ -->",329,"Tutte le scarpe",uomo-scarpe,,,,,,,,,,,,,,
332,Stivaletti,uomo-scarpe-stivaletti,"<!-- slug:/uomo/scarpe/stivaletti/ -->",329,"Tutte le scarpe",uomo-scarpe,,,,,,,,,,,,,,
333,Polacchine,uomo-scarpe-polacchini,"<!-- slug:/uomo/scarpe/polacchini/ -->",329,"Tutte le scarpe",uomo-scarpe,55,55,,78952,,,https://grandeshop.it/wp-content/uploads/2023/11/281120231701129854.jpeg,281120231701129854.jpeg,/home/fwbibudd/public_html/wp-content/uploads/2023/11/281120231701129854.jpeg,78952,281120231701129854.jpeg,,,
334,"Scarpe stringate",uomo-scarpe-stringate,"<!-- slug:/uomo/scarpe/stringate/ -->",329,"Tutte le scarpe",uomo-scarpe,107,107,,42417,,,https://grandeshop.it/wp-content/uploads/2023/11/251120231700922372.jpeg,251120231700922372.jpeg,/home/fwbibudd/public_html/wp-content/uploads/2023/11/251120231700922372.jpeg,42417,251120231700922372.jpeg,,,
335,Scarpe,uomo-scarpe-scarpe,"<!-- slug:/uomo/scarpe/scarpe/ -->",286,"Tutte le scarpe",donna-scarpe,183,183,,59992,,,https://grandeshop.it/wp-content/uploads/2023/11/251120231700953677.jpeg,251120231700953677.jpeg,/home/fwbibudd/public_html/wp-content/uploads/2023/11/251120231700953677.jpeg,59992,251120231700953677.jpeg,,,
336,"Tutti gli accessori",uomo-accessori,"<!-- slug:/uomo/accessori/ -->",96,Uomo,uomo,,509,,52210,,,https://grandeshop.it/wp-content/uploads/2023/11/251120231700932402.jpeg,251120231700932402.jpeg,/home/fwbibudd/public_html/wp-content/uploads/2023/11/251120231700932402.jpeg,52210,251120231700932402.jpeg,,,
337,Beautycase,uomo-accessori-beautycase,"<!-- slug:/uomo/accessori/beautycase/ -->",336,"Tutti gli accessori",uomo-accessori,57,57,,74460,,,https://grandeshop.it/wp-content/uploads/2023/11/261120231701040328.jpeg,261120231701040328.jpeg,/home/fwbibudd/public_html/wp-content/uploads/2023/11/261120231701040328.jpeg,74460,261120231701040328.jpeg,,,
338,Calze,uomo-accessori-calze,"<!-- slug:/uomo/accessori/calze/ -->",336,"Tutti gli accessori",uomo-accessori,,,,,,,,,,,,,,
339,"Cappelli e berretti",uomo-accessori-cappello,"<!-- slug:/uomo/accessori/cappello/ -->",336,"Tutti gli accessori",uomo-accessori,,,,,,,,,,,,,,
340,Cinture,uomo-accessori-cintura,"<!-- slug:/uomo/accessori/cintura/ -->",336,"Tutti gli accessori",uomo-accessori,,,,,,,,,,,,,,
341,Cover,uomo-accessori-cover,"<!-- slug:/uomo/accessori/cover/ -->",336,"Tutti gli accessori",uomo-accessori,,,,,,,,,,,,,,
342,Foulard,uomo-accessori-foulard,"<!-- slug:/uomo/accessori/foulard/ -->",336,"Tutti gli accessori",uomo-accessori,,,,,,,,,,,,,,
343,Gioielli,uomo-accessori-bijoux,"<!-- slug:/uomo/accessori/bijoux/ -->",336,"Tutti gli accessori",uomo-accessori,,,,,,,,,,,,,,
344,"Occhiali da sole",uomo-accessori-occhiali,"<!-- slug:/uomo/accessori/occhiali/ -->",336,"Tutti gli accessori",uomo-accessori,,,,,,,,,,,,,,
345,Papillon,uomo-accessori-papillon,"<!-- slug:/uomo/accessori/papillon/ -->",336,"Tutti gli accessori",uomo-accessori,22,22,,150613,,,https://grandeshop.it/wp-content/uploads/2023/12/041220231701657146.jpeg,041220231701657146.jpeg,/home/fwbibudd/public_html/wp-content/uploads/2023/12/041220231701657146.jpeg,150613,041220231701657146.jpeg,,,
346,Portachiavi,uomo-accessori-portachiavi,"<!-- slug:/uomo/accessori/portachiavi/ -->",296,"Tutti gli accessori",donna-accessori,47,47,,47086,,,https://grandeshop.it/wp-content/uploads/2023/11/251120231700928071.jpeg,251120231700928071.jpeg,/home/fwbibudd/public_html/wp-content/uploads/2023/11/251120231700928071.jpeg,47086,251120231700928071.jpeg,,,
347,"Portafogli e porta carte",uomo-accessori-portafogli,"<!-- slug:/uomo/accessori/portafogli/ -->",336,"Tutti gli accessori",uomo-accessori,,,,,,,,,,,,,,
348,Sciarpe,uomo-accessori-sciarpa,"<!-- slug:/uomo/accessori/sciarpa/ -->",336,"Tutti gli accessori",uomo-accessori,,,,,,,,,,,,,,
349,Maglieria,bambino-abbigliamento-bimbo-maglia,"<!-- slug:/bambino/abbigliamento-bimbo/maglia/ -->",,,,,,,,,,,,,,,,,
350,"Magliette e t-shirt",bambino-abbigliamento-bimbo-t-shirt,"<!-- slug:/bambino/abbigliamento-bimbo/t-shirt/ -->",,,,,,,,,,,,,,,,,
351,Pantaloni,bambino-abbigliamento-bimbo-pantalone,"<!-- slug:/bambino/abbigliamento-bimbo/pantalone/ -->",,,,,,,,,,,,,,,,,
352,Cappotti,bambino-abbigliamento-bimbo-cappotto,"<!-- slug:/bambino/abbigliamento-bimbo/cappotto/ -->",,,,,,,,,,,,,,,,,
353,Jeans,bambino-abbigliamento-bimbo-jeans,"<!-- slug:/bambino/abbigliamento-bimbo/jeans/ -->",,,,,,,,,,,,,,,,,
354,Camicie,bambino-abbigliamento-bimbo-camicia,"<!-- slug:/bambino/abbigliamento-bimbo/camicia/ -->",,,,,,,,,,,,,,,,,
355,Blazer,bambino-abbigliamento-bimbo-giacca,"<!-- slug:/bambino/abbigliamento-bimbo/giacca/ -->",,,,,,,,,,,,,,,,,
356,"Scarpe bambino",bambino-scarpe-bimbo,"<!-- slug:/bambino/scarpe-bimbo/ -->",260,Bambini,bambini,,,,,,,,,,,,,,
357,"Giacche e Giubbotti",bambino-abbigliamento-bimbo-giubbotto,"<!-- slug:/bambino/abbigliamento-bimbo/giubbotto/ -->",,,,,,,,,,,,,,,,,
358,Cappotti,bambino-abbigliamento-bimba-cappotto,"<!-- slug:/bambino/abbigliamento-bimba/cappotto/ -->",,,,,,,,,,,,,,,,,
359,"Abitini e vestiti",bambino-abbigliamento-bimba-abito,"<!-- slug:/bambino/abbigliamento-bimba/abito/ -->",,,,,,,,,,,,,,,,,
360,Gonne,bambino-abbigliamento-bimba-gonna,"<!-- slug:/bambino/abbigliamento-bimba/gonna/ -->",,,,,,,,,,,,,,,,,
361,"Giacche e giubbotti",bambino-abbigliamento-bimba-giubbotto,"<!-- slug:/bambino/abbigliamento-bimba/giubbotto/ -->",,,,,,,,,,,,,,,,,
362,Maglieria,bambino-abbigliamento-bimba-maglia,"<!-- slug:/bambino/abbigliamento-bimba/maglia/ -->",,,,,,,,,,,,,,,,,
363,Jeans,bambino-abbigliamento-bimba-jeans,"<!-- slug:/bambino/abbigliamento-bimba/jeans/ -->",,,,,,,,,,,,,,,,,
